[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5248 ( 80 )
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5249 ( 80 )
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5250 ( 117 )
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5251 ( 80 )
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => _queue_out_data_ptr->size =0 
[Wed Nov 14 16:19:35 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5252 bytes= 80
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5252 ( 80 )
[Wed Nov 14 16:19:35 2012] bit_stream_httpout::handle_pkt_out => _queue_out_data_ptr->size =0 
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5253 bytes= 80
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5254 bytes= 69
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5253 ( 80 )
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5255 bytes= 80
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5254 ( 69 )
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5256 bytes= 80
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5255 ( 80 )
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5257 bytes= 80
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5256 ( 80 )
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5258 bytes= 79
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5257 ( 80 )
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5259 bytes= 80
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5258 ( 79 )
[Wed Nov 14 16:19:36 2012] pk_mgr::handle_pkt_in => recieve pkt seqence number 5260 bytes= 80
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5259 ( 80 )
[Wed Nov 14 16:19:36 2012] bit_stream_httpout::handle_pkt_out => sent pkt sequence_number 5260 ( 80 )
